Country	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total
England	591	322	21	10	944
Northern Ireland	35	16	1		52
Scotland	66	30	1		97
Wales	48	17		2	67
Other	4	2			6
Total	744	387	23	12	1166
