id,eventname,EventLongName,EventShortName,LocalisedEventLongName,countrycode,seriesid,EventLocation,Latitude,Longitude
60,southampton,Southampton parkrun,Southampton,,97,1,Southampton Common,50.923624,-1.407766
61,lydiard,Lydiard parkrun,Lydiard,,97,1,"Lydiard Park, Swindon",51.561489,-1.853621
62,houghtonhall-juniors,Houghton Hall junior parkrun,Houghton Hall juniors,Houghton Hall junior parkrun,97,2,Houghton Hall Park,51.901555,-0.509799
63,rostrevor,Rostrevor parkrun,Rostrevor,,97,1,Kilbroney Park,54.099486,-6.193448
64,andover,Andover parkrun,Andover,,97,1,"Charlton Lakeside, Andover",51.221092,-1.512766
65,prudhoeriverside,Prudhoe Riverside parkrun,Prudhoe Riverside,,97,1,Tyne Riverside Country Park,54.968071,-1.863141
67,graves-juniors,Graves junior parkrun,Graves juniors,Graves junior parkrun,97,2,Graves Park,53.338892,-1.465051
68,forestofdean,Forest of Dean parkrun,Forest of Dean,,97,1,"Coverham Enclosure, Forest of Dean",51.808701,-2.605219
69,coventry,Coventry parkrun,Coventry,,97,1,"War Memorial Park, Coventry",52.39172,-1.524026
70,centralpark-juniors,Central Park junior parkrun,Central Park juniors,Central Park junior parkrun,97,2,Central Park,52.584576,-0.235072
71,guildford,Guildford parkrun,Guildford,,97,1,"Stoke Park, Guildford",51.247383,-0.562062
72,hampsteadheath,Hampstead Heath parkrun,Hampstead Heath,,97,1,Hampstead Heath,51.558598,-0.168185
73,cheddar-juniors,Cheddar junior parkrun,Cheddar juniors,Cheddar junior parkrun,97,2,Kings Fitness and Leisure,51.273808,-2.77921
74,ipswich,Ipswich parkrun,Ipswich,,97,1,Chantry Park,52.050923,1.116032
75,kingston,Kingston parkrun,Kingston,,97,1,Kingston Riverside,51.426567,-0.309516
76,brockwell,"Brockwell parkrun, Herne Hill",Brockwell,,97,1,"Brockwell Park, Herne Hill",51.452538,-0.105464
77,leamington,Leamington parkrun,Leamington,,97,1,"Newbold Comyn, Leamington",52.28714,-1.504655
78,cannockchase,Cannock Chase parkrun,Cannock Chase,,97,1,Cannock Chase,52.73744,-1.99542
79,maidstone,Maidstone parkrun,Maidstone,,97,1,River Medway,51.29641,0.507689
80,belfastvictoria-juniors,Belfast Victoria junior parkrun,Belfast Victoria juniors,Belfast Victoria junior parkrun,97,2,"Victoria Park, Belfast",54.609998,-5.870456
81,oxford,Oxford parkrun,Oxford,,97,1,"Cutteslowe and Sunnymead Park, Oxford",51.790901,-1.262419
82,plymvalley,Plymvalley parkrun,Plymvalley,,97,1,Plymbridge Woods,50.409091,-4.079618
83,trelissick,Trelissick parkrun,Trelissick,,97,1,Kilbroney Park,50.217331,-5.02826
84,riverfront,Riverfront parkrun,Riverfront,,97,1,The Riverfront,51.588559,-2.993317
86,endcliffe,Endcliffe parkrun,Endcliffe,,97,1,"Endcliffe Park, Sheffield",53.368631,-1.507364
87,harcourthill-juniors,Harcourt Hill junior parkrun,Harcourt Hill juniors,Harcourt Hill junior parkrun,97,2,Harcourt Hill Campus,51.739341,-1.295183
89,hyndburn,Hyndburn parkrun,Hyndburn,,97,1,Wilson Playing Fields,53.781711,-2.376734
