id,eventname,EventLongName,EventShortName,LocalisedEventLongName,countrycode,seriesid,EventLocation,Latitude,Longitude
567,clactonseafront,Clacton Seafront parkrun,Clacton Seafront,,97,1,Clacton Seafront,51.781574,1.142974
568,kiddsbeach,Kidds Beach parkrun,Kidds Beach,,85,1,Upper Kidds Beach,-33.139412,27.680483
569,omagh,Omagh parkrun,Omagh,,97,1,Omagh,54.602837,-7.296222
570,newark,Newark parkrun,Newark,,97,1,Sconce and Devon Park,53.070031,-0.81905
571,bunyaville,Bunyaville parkrun,Bunyaville,,3,1,James Drysdale Recreational Conservation Centre,-27.377306,152.949138
572,clumberpark,Clumber Park parkrun,Clumber Park,,97,1,Clumber Park,53.268022,-1.065717
573,barrycurtis,Barry Curtis parkrun,Barry Curtis,,65,1,Barry Curtis Park,-36.9597,174.914382
575,workington,Workington parkrun,Workington,,97,1,Workington Leisure Centre,54.647169,-3.539767
578,griffeen,Griffeen parkrun,Griffeen,,42,1,Griffeen Valley Park,53.343685,-6.445112
579,inverell,Inverell parkrun,Inverell,,3,1,Campbell Park,-29.77388,151.10897
580,seaton,Seaton parkrun,Seaton,,97,1,Seaton Esplanade,50.703349,-3.072064
581,canonspark,Canons Park parkrun,Canons Park,,97,1,Canons Park,51.612291,-0.296184
582,greenpoint,Greenpoint parkrun,Greenpoint,,85,1,Greenpoint Park,-33.905997,18.407056
583,porirua,Porirua parkrun,Porirua,,65,1,Bothamley Park,-41.134246,174.854161
584,ormeau,Ormeau parkrun,Ormeau,,97,1,Ormeau Park,54.588374,-5.914786
585,antrim,Antrim parkrun,Antrim,,97,1,Loughshore Park,54.717078,-6.238818
587,mosman,Mosman parkrun,Mosman,,3,1,Spit West Reserve,-33.806252,151.245989
588,armidale,Armidale parkrun,Armidale,,3,1,SportUNE,-30.491998,151.639419
593,diamondcreek,Diamond Creek parkrun,Diamond Creek,,3,1,Marngrook Oval,-37.673576,145.153249
594,pehobiebeach,PE Hobie Beach parkrun,PE Hobie Beach,,85,1,Hobie Beach,-33.980149,25.657368
595,stfrancis,St Francis parkrun,St Francis,,85,1,St Francis Links,-34.162285,24.815401
596,bodmin-juniors,Bodmin junior parkrun,Bodmin juniors,Bodmin junior parkrun,97,2,Hillside Park,50.474313,-4.73101
597,warwick,Warwick parkrun,Warwick,,3,1,Condamine River,-28.209605,152.038465
598,oceangrove,Ocean Grove parkrun,Ocean Grove,,3,1,Barwon Estuary Picnic Area,-38.267313,144.512783
599,merimbula,Merimbula parkrun,Merimbula,,3,1,Merimbula,-36.895978,149.910936
600,szczecinek,parkrun Szczecinek,Szczecinek,parkrun Szczecinek,74,1,"Park Miejski, Szczecinek",53.700942,16.693575
601,renton,Renton parkrun,Renton,,98,1,Renton,47.475931,-122.180865
602,zary,parkrun Żary,Żary,parkrun Żary,74,1,"Zielony Las, Żary",51.616609,15.135033
604,bargara,Bargara parkrun,Bargara,,3,1,Nielson Park,-24.806914,152.456905
606,bathurst,Bathurst parkrun,Bathurst,,3,1,Bicentennial Park,-33.414176,149.586917
608,portmacquarie,Port Macquarie parkrun,Port Macquarie,,3,1,Port Macquarie,-31.42754,152.916551
610,blackbutt,Blackbutt parkrun,Blackbutt,,3,1,Richley Recreation Reserve,-32.932526,151.699755
612,cuerdenvalley,Cuerden Valley parkrun,Cuerden Valley,,97,1,Cuerden Valley Park,53.708614,-2.659442
613,sheffieldcastle,Sheffield Castle parkrun,Sheffield Castle,,97,1,Manor Fields Park,53.366782,-1.436827
614,emerald,Emerald parkrun,Emerald,,3,1,Botanical Gardens,-23.531435,148.164253
615,stannes,St Anne’s parkrun,St Anne’s,,42,1,St Anne’s Park,53.371179,-6.174574
617,berwicksprings,Berwick Springs parkrun,Berwick Springs,,3,1,Berwick Springs Promenade,-38.062069,145.322932
619,pointcook,Point Cook parkrun,Point Cook,,3,1,Arndell Park Community Centre,-37.862086,144.72952
620,osterley,Osterley parkrun,Osterley,,97,1,Osterley Park,51.489403,-0.349889
621,skipton,Skipton parkrun,Skipton,,97,1,Aireville Park,53.961331,-2.030004
622,leszno,parkrun Leszno,Leszno,parkrun Leszno,74,1,"Nadleśnictwo Karczma Borowa, Leszno",51.851061,16.619139
625,westport,Westport parkrun,Westport,,42,1,Westport,53.797982,-9.519267
628,shrewsbury,Shrewsbury parkrun,Shrewsbury,,97,1,The Quarry,52.706942,-2.75921
629,yeovilmontacute,Yeovil Montacute parkrun,Yeovil Montacute,,97,1,Montacute House,50.951485,-2.712979
631,sandallpark,Sandall Park parkrun,Sandall Park,,97,1,Sandall Park,53.544969,-1.089474
632,weymouth,Weymouth parkrun,Weymouth,,97,1,Lodmoor County Park,50.626728,-2.447398
633,corby,Corby parkrun,Corby,,97,1,West Glebe Recreation Ground,52.493879,-0.691774
634,rockhampton,Rockhampton parkrun,Rockhampton,,3,1,Botanic Gardens,-23.400579,150.491432
635,flattslane,Flatts Lane parkrun,Flatts Lane,,97,1,Flatts Lane Woodland Country Park,54.543872,-1.151741
636,clarecastle,Clare Castle parkrun,Clare Castle,,97,1,Clare Castle Country Park,52.076428,0.581882
637,dalby,Dalby parkrun,Dalby,,3,1,Dalby,-27.188036,151.262339
638,gibside,Gibside parkrun,Gibside,,97,1,Gibside,54.920406,-1.731248
639,ballarat,Ballarat parkrun,Ballarat,,3,1,Victoria Park,-37.556649,143.820637
640,haverfordwest,Haverfordwest parkrun,Haverfordwest,,97,1,Haverfordwest Crickert Club,51.797163,-4.992836
641,victoria,"Victoria parkrun, Glasgow",Victoria,,97,1,Victoria Park,55.877504,-4.332347
643,westerfolds,Westerfolds parkrun,Westerfolds,,3,1,Westerfolds Park,-37.746092,145.133986
644,mudgeeraba,Mudgeeraba parkrun,Mudgeeraba,,3,1,Darcy Doyle Park,-28.086682,153.364098
646,castlewellan,Castlewellan parkrun,Castlewellan,,97,1,Castlewellan Forest Park,54.262147,-5.95386
647,hyde-juniors,Hyde junior parkrun,Hyde juniors,Hyde junior parkrun,97,2,Hyde Park,53.458379,-2.07756
648,alburywodonga,Albury Wodonga parkrun,Albury Wodonga,,3,1,Hovell Tree Park,-36.083452,146.906532
649,dunedin,Dunedin parkrun,Dunedin,,65,1,Dunedin Botanic Garden,-45.857088,170.519225
650,hamiltonlake,Hamilton Lake parkrun,Hamilton Lake,,65,1,Hamilton Lake,-37.799693,175.272381
651,millwater,Millwater parkrun,Millwater,,65,1,Millwater Parkway,-36.602838,174.679409
654,brentwood,Brentwood parkrun,Brentwood,,97,1,Weald Country Park,51.622582,0.266879
655,catton,Catton parkrun,Catton,,97,1,Catton Park,52.656696,1.295507
656,hazlehead,"Hazlehead parkrun, Aberdeen",Hazlehead,,97,1,Hazlehead Park,57.141371,-2.175647
657,mackay,Mackay parkrun,Mackay,,3,1,Mackay Botanic Gardens,-21.152238,149.155797
658,armagh,Armagh parkrun,Armagh,,97,1,Palace Demesne Public Park,54.339812,-6.652951
659,larne,Larne parkrun,Larne,,97,1,Carnfunnock Country Park,54.88843,-5.843595
660,alness,Alness parkrun,Alness,,97,1,Crawl Park,57.694306,-4.256669
661,roma,Roma parkrun,Roma,,3,1,Roma,-26.567166,148.789054
663,maitland,Maitland parkrun,Maitland,,3,1,Walka Recreation & Wildlife Reserve,-32.714435,151.552845
665,torquay,Torquay parkrun,Torquay,,3,1,Fishermans Beach,-38.327281,144.326903
666,lakesentrance,Lakes Entrance parkrun,Lakes Entrance,,3,1,"Lakes Entrance Rotunda, Memorial Park",-37.879944,147.994104
668,herveybay,Hervey Bay parkrun,Hervey Bay,,3,1,Lions Park,-25.283163,152.90367
669,bluegumhills,Blue Gum Hills parkrun,Blue Gum Hills,,3,1,Blue Gum Hills Regional Park,-32.884131,151.620206
670,minnippi,Minnippi parkrun,Minnippi,,3,1,Meadowfields Road,-27.49331,153.118679
672,mountgambier,Mount Gambier parkrun,Mount Gambier,,3,1,Blue Lake Reserve,-37.84289,140.777854
673,eagan,Eagan parkrun,Eagan,,98,1,Thomas Lake Park,44.797663,-93.175378
674,fulhampalace,Fulham Palace parkrun,Fulham Palace,,97,1,Bishops Park,51.472465,-0.218493
678,fishhoek,Fish Hoek parkrun,Fish Hoek,,85,1,Sun Valley,-34.120577,18.398581
679,voortrekkermonument,"Voortrekker Monument parkrun, Pretoria",Voortrekker Monument,,85,1,Voortrekker Monument Heritage Site,-25.772619,28.179573
680,greatlines,"Great Lines parkrun, Medway",Great Lines,,97,1,Great Lines Heritage ParkPark,51.388527,0.541334
681,longrunmeadow,Longrun Meadow parkrun,Longrun Meadow,,97,1,Longrun Meadow Park,51.018755,-3.114989
682,northalafields,Northala Fields parkrun,Northala Fields,,97,1,Northala Fields Park,51.541272,-0.376711
683,tonbridge,Tonbridge parkrun,Tonbridge,,97,1,Juddians Rugby Club,51.197605,0.270174
685,calamvale,Calamvale parkrun,Calamvale,,3,1,Calamvale District Park,-27.620775,153.039287
689,potchefstroom,Potchefstroom parkrun,Potchefstroom,,85,1,Corner of Retief and Govan Mbeki Avenue,-26.707551,27.104892
691,stanthorpe,Stanthorpe parkrun,Stanthorpe,,3,1,Gleeson Park,-28.65183,151.931781
693,halls,"Halls parkrun, Nelspruit",Halls,,85,1,Halls Gateway,-25.456949,30.937114
696,blickling,Blickling parkrun,Blickling,,97,1,Blickling Park,52.813653,1.221671
697,pontypool,Pontypool parkrun,Pontypool,,97,1,Pontypool Park,51.699213,-3.028573
699,lillydalelake,Lillydale Lake parkrun,Lillydale Lake,,3,1,Lilydale Lake,-37.766218,145.357071
701,pomphreyhill,Pomphrey Hill parkrun,Pomphrey Hill,,97,1,Pomphrey Hill Playing Fields,51.479321,-2.47805
704,roundhay-juniors,Roundhay junior parkrun,Roundhay juniors,,97,2,Roundhay Park,53.836822,-1.503689
705,southampton-juniors,Southampton junior parkrun,Southampton juniors,,97,2,Riverside Park,50.933059,-1.373988
706,goldenbeach,Golden Beach parkrun,Golden Beach,,3,1,Woorim Park,-26.829014,153.120795
708,tauranga,Tauranga parkrun,Tauranga,,65,1,Kopurererua Valley Reserve,-37.703937,176.14702
709,george,George parkrun,George,,85,1,Botanical Gardens,-33.945385,22.464767
710,knysna,Knysna parkrun,Knysna,,85,1,Knysna,-34.045911,23.06934
711,bryanston,Bryanston parkrun,Bryanston,,85,1,Bryanston,-26.060239,28.04727
714,rietvlei,"Rietvlei parkrun, JHB South",Rietvlei,,85,1,"Rietvlei Farm, Alberton",-26.31107,28.079971
719,basingstoke-juniors,Basingstoke junior parkrun,Basingstoke juniors,Basingstoke junior parkrun,97,2,Stratton Park,51.252197,-1.128675
720,burystedmunds-juniors,Bury St Edmunds junior parkrun,Bury St Edmunds juniors,Bury St Edmunds junior parkrun,97,2,Bury St Edmunds,52.244457,0.734698
721,polokwane,Polokwane parkrun,Polokwane,,85,1,Polokwane,-23.885076,29.457428
723,kolomenskoe,parkrun Kolomenskoe,Kolomenskoe,parkrun Коломенское,79,1,"Kolomenskoe park, Moscow",55.669668,37.675381
724,wimbledonpark-juniors,Wimbledon Park junior parkrun,Wimbledon Park juniors,,97,2,Wimbledon Park,51.440582,-0.206632
727,ruchill,Ruchill parkrun,Ruchill,,97,1,Ruchill Park,55.884538,-4.276162
729,lakeview,Lakeview parkrun,Lakeview,,3,1,The Shores Way,-33.030093,151.642302
732,singleton,Singleton parkrun,Singleton,,3,1,Rose Point Park,-32.565281,151.160776
733,yamba,Yamba parkrun,Yamba,,3,1,Ford Park,-29.435742,153.357271
734,rushcliffe-juniors,Rushcliffe junior parkrun,Rushcliffe juniors,,97,2,Rushcliffe County Park,52.88217,-1.14978
736,cooksriver,Cooks River parkrun,Cooks River,,3,1,Saint Mary Mackillop Reserve,-33.913708,151.116857
738,aylestone-juniors,Aylestone junior parkrun,Aylestone juniors,,97,2,Aylestone Recreation Ground,52.609737,-1.134248
739,quinnsrocks,Quinns Rocks parkrun,Quinns Rocks,,3,1,Quinns Rocks,-31.679025,115.69588
740,ardgillan,Ardgillan parkrun,Ardgillan,,42,1,Ardgillan Castle and Demesne,53.586088,-6.161152
741,naas,Naas parkrun,Naas,,42,1,Naas Racecourse,53.220327,-6.644948
742,carrickfergus,Carrickfergus parkrun,Carrickfergus,,97,1,Amphitheatre Wellness Centre,54.719992,-5.805285
745,coffsharbour,Coffs Harbour parkrun,Coffs Harbour,,3,1,Park Beach Reserve,-30.295687,153.1376
748,fountainsabbey,Fountains Abbey parkrun,Fountains Abbey,,97,1,Fountains Abbey,54.110196,-1.581983
750,manjimup,Manjimup parkrun,Manjimup,,3,1,Manjimup Homemaker Centre,-34.227785,116.179615
751,campbelltown,Campbelltown parkrun,Campbelltown,,3,1,Hurricane Drive,-34.018301,150.814819
753,sale,Sale parkrun,Sale,,3,1,Sale Botanic Gardens,-38.114103,147.078273
754,kirkcaldy,Kirkcaldy parkrun,Kirkcaldy,,97,1,Beveridge Park,56.104087,-3.169549
755,lanhydrock,Lanhydrock parkrun,Lanhydrock,,97,1,Lanhydrock House,50.441131,-4.69614
756,queanbeyan,Queanbeyan parkrun,Queanbeyan,,3,1,Queanbeyan,-35.348151,149.238801
757,pioneer,Pioneer parkrun,Pioneer,,3,1,Pioneer Park,-32.066125,116.001509
761,penrith,Penrith parkrun,Penrith,,97,1,Frenchfiel Sports Centre,54.658026,-2.720532
762,greatcornard,Great Cornard parkrun,Great Cornard,,97,1,Great Cornard Sports Centre,52.02463,0.751362
763,severnoetushino,parkrun Severnoe Tushino,Severnoe Tushino,parkrun Северное Тушино,79,1,"Severnoe Tushino park, Moscow",55.853899,37.453423
765,risingsun,Rising Sun parkrun,Rising Sun,,97,1,The Rising Sun Country Park,55.01998,-1.532028
768,harrowlodge-juniors,Harrow Lodge junior parkrun,Harrow Lodge juniors,,97,2,Harrow Lodge Park,51.555718,0.202013
769,newport-juniors,Newport junior parkrun,Newport juniors,,97,2,Tredegar House,51.562767,-3.028793
771,tamborinemountain,Tamborine Mountain parkrun,Tamborine Mountain,,3,1,Tamborine Mountain Sports Complex,-27.941377,153.193434
772,penrithlakes,Penrith Lakes parkrun,Penrith Lakes,,3,1,Sydney International Regatta Centre,-33.725922,150.685741
778,kenningtonreservoir,Kennington Reservoir parkrun,Kennington Reservoir,,3,1,Kennington Reservoir,-36.772141,144.312232
779,beeston,Beeston parkrun,Beeston,,97,1,Weirfields Recreation Ground,52.913592,-1.201737
780,bangor,"Bangor parkrun, Northern Ireland",Bangor,,97,1,Ward Park,54.660024,-5.661693
781,castlebar,Castlebar parkrun,Castlebar,,42,1,Castlebar Tennis Club,53.850327,-9.309314
782,ormskirk,Ormskirk parkrun,Ormskirk,,97,1,Edge Hill University,53.559245,-2.868097
783,lymepark,Lyme Park parkrun,Lyme Park,,97,1,Lyme Park,53.337193,-2.058402
788,peterpan-juniors,Peter Pan junior parkrun,Peter Pan juniors,Peter Pan junior parkrun,97,2,Peter Pan Park,53.738674,-0.402106
793,yeppoon,Yeppoon parkrun,Yeppoon,,3,1,Yeppoon,-23.128177,150.739086
794,upington,Upington parkrun,Upington,,85,1,Corner of Wildebees and Dwars Street,-28.444304,21.269767
795,rousehill,Rouse Hill parkrun,Rouse Hill,,3,1,Rouse Hill Regional Park,-33.679301,150.911109
797,littlestoke-juniors,Little Stoke junior parkrun,Little Stoke juniors,,97,2,Little Stoke Park,51.529479,-2.55975
798,wishart,Wishart parkrun,Wishart,,3,1,Wishart Community Park,-27.560975,153.103468
802,victorharbor,Victor Harbor parkrun,Victor Harbor,,3,1,Victor Harbor,-35.565657,138.611096
804,mofolo,Mofolo parkrun,Mofolo,,85,1,Mofolo Park,-26.243398,27.888986
805,mtpenang,Mt Penang parkrun,Mt Penang,,3,1,Mt Penang Parklands,-33.426328,151.293178
806,whiteriver,White River parkrun,White River,,85,1,Ingwenyama Conference and Sports Resort,-25.342502,31.007935
807,cottesloe,Cottesloe parkrun,Cottesloe,,3,1,Marine Parade,-32.006479,115.75182
808,mountisa,Mount Isa parkrun,Mount Isa,,3,1,Tharrapatha Way,-20.702319,139.492772
809,yarrabilba,Yarrabilba parkrun,Yarrabilba,,3,1,Darlington Parklands,-27.80288,153.10409
810,maribyrnong,Maribyrnong parkrun,Maribyrnong,,3,1,Maribyrnong,-37.770632,144.897858
813,pittsworth,Pittsworth parkrun,Pittsworth,,3,1,Pittsworth,-27.712352,151.641106
814,reigatepriory,Reigate Priory parkrun,Reigate Priory,,97,1,Priory Park,51.23435,-0.208644
821,cleethorpes,Cleethorpes parkrun,Cleethorpes,,97,1,Cleethorpes Country Park,53.541552,-0.025384
822,lawson,Lawson parkrun,Lawson,,3,1,North Lawson Park,-33.713629,150.426901
823,carineglades,Carine Glades parkrun,Carine Glades,,3,1,Carine Regional Open Space,-31.85155,115.782943
826,barkinganddagenham-juniors,Barking and Dagenham junior parkrun,Barking and Dagenham juniors,,97,2,Parsloes Park,51.544937,0.125871
827,mashishing,Mashishing parkrun,Mashishing,,85,1,Lydenburg,-25.11494,30.473021
828,keswick,Keswick parkrun,Keswick,,97,1,Keswick Railway Path,54.603863,-3.129497
829,springburn,"Springburn parkrun, Glasgow",Springburn,,97,1,Springburn Park,55.889857,-4.224823
834,chelmsford-juniors,Chelmsford junior parkrun,Chelmsford juniors,,97,2,Central Park,51.733083,0.466286
835,hamilton,Hamilton parkrun,Hamilton,,3,1,Lake Hamilton,-37.737592,142.040024
836,centrallakes,Central Lakes parkrun,Central Lakes,,3,1,Central Lakes Drive,-27.07755,152.973187
837,parke,Parke parkrun,Parke,,97,1,Parke Estate,50.59305,-3.686562
838,cieszyn,parkrun Cieszyn,Cieszyn,parkrun Cieszyn,74,1,"Park Sikory, Cieszyn",49.741202,18.629197
840,konstancinjeziorna,parkrun Konstancin-Jeziorna,Konstancin-Jeziorna,parkrun Konstancin-Jeziorna,74,1,"Scieżka Zdrowia, Konstancin Jeziorna",52.072417,21.12834
841,warszawazoliborz,parkrun Warszawa-Żoliborz,Warszawa-Żoliborz,parkrun Warszawa-Żoliborz,74,1,"Park Kępa Potocka, Warszawa",52.280382,20.990555
842,lonehill,Lonehill parkrun,Lonehill,,85,1,Lonehill Park Dam,-26.014461,28.027883
843,rushmoor,Rushmoor parkrun,Rushmoor,,97,1,Queens Avenue,51.265798,-0.755847
844,marple-juniors,Marple junior parkrun,Marple juniors,,97,2,Brabyns Park,53.408027,-2.05793
846,brockwell-juniors,Brockwell junior parkrun,Brockwell juniors,,97,2,Brockwell Park,51.452603,-0.106505
847,pakenham,Pakenham parkrun,Pakenham,,3,1,Pakenham,-38.06462,145.463839
849,capalaba,Capalaba parkrun,Capalaba,,3,1,Capalaba Regional Park,-27.521405,153.186858
850,mudgee,Mudgee parkrun,Mudgee,,3,1,Mudgee,-32.589229,149.586719
851,buckingham,Buckingham parkrun,Buckingham,,97,1,Bridge Street Skate Park,51.998987,-0.984462
852,druridgebay,Druridge Bay parkrun,Druridge Bay,,97,1,Druridge Bay Country Park,55.292765,-1.572348
855,huddersfield-juniors,Huddersfield junior parkrun,Huddersfield juniors,,97,2,Greenhead Park,53.648309,-1.799336
859,mileend-juniors,Mile End junior parkrun,Mile End juniors,,97,2,Mile End Park,51.518602,-0.034735
860,derrycity-juniors,Derry City junior parkrun,Derry City juniors,Derry City junior parkrun,97,2,Foyle Arena,55.000642,-7.304701
861,gorkypark,parkrun Gorky Park,Gorky Park,parkrun Парк Горького,79,1,Gorky Park,55.709559,37.561671
862,stavropol,parkrun Stavropol,Stavropol,parkrun Ставрополь,79,1,Stavropol,45.027659,41.93534
863,meshchersky,parkrun Meshchersky,Meshchersky,parkrun Мещерский,79,1,Meshchersky,55.667123,37.404714
866,humberbridge,Humber Bridge parkrun,Humber Bridge,,97,1,Humber Bridge Country Park,53.71723,-0.453352
869,pendle,Pendle parkrun,Pendle,,97,1,Holt House Playing Fields,53.863571,-2.18011
871,knocknacarra,Knocknacarra parkrun,Knocknacarra,,42,1,Knocknacarra Community Centre,53.265061,-9.134823
873,wangaratta,Wangaratta parkrun,Wangaratta,,3,1,Apex Park,-36.351774,146.329944
874,bognorregis,Bognor Regis parkrun,Bognor Regis,,97,1,Hotham Park,50.786913,-0.668305
878,broadbeachwaters,Broadbeach Waters parkrun,Broadbeach Waters,,3,1,Monaco Street,-28.018497,153.412292
879,cheadlehulme,Cheadle Hulme parkrun,Cheadle Hulme,,97,1,Grove Park Sports Club,53.379026,-2.210652
881,toolerncreek,Toolern Creek parkrun,Toolern Creek,,3,1,Toolern Creek Park,-37.714776,144.583229
882,peckhamrye,Peckham Rye parkrun,Peckham Rye,,97,1,Peckham Rye Park,51.455486,-0.060688
883,watergrove,"Watergrove parkrun, Rochdale",Watergrove,,97,1,Watergrove Reservoir,53.657034,-2.131777
885,tymon,Tymon parkrun,Tymon,,42,1,Tymon Park,53.295314,-6.3282
886,comber,Comber parkrun,Comber,,97,1,Parkway,54.549593,-5.740415
887,wetherby,Wetherby parkrun,Wetherby,,97,1,Wetherby Sports Association,53.925673,-1.392197
888,redcliffe,Redcliffe parkrun,Redcliffe,,3,1,"Suttons Beach Park, Marine Parade",-27.235456,153.114827
890,kalisz,parkrun Kalisz,Kalisz,parkrun Kalisz,74,1,"Wał Matejki nad Prosną, Kalisz",51.75628,18.100242
891,warszawaursynow,parkrun Warszawa-Ursynów,Warszawa-Ursynów,parkrun Warszawa-Ursynów,74,1,"Park przy Bażantarni, Warszawa",52.135633,21.063039
892,bromsgrove-juniors,Bromsgrove junior parkrun,Bromsgrove juniors,,97,2,Sanders Park,52.334159,-2.072308
893,portobello,"Portobello parkrun, Edinburgh",Portobello,,97,1,Figgate Park,55.950689,-3.122656
894,mogol,Mogol parkrun,Mogol,,85,1,Mogol Club,-23.686683,27.693497
895,oldbridge,Oldbridge parkrun,Oldbridge,,42,1,Battle of the Boyne Visitor Centre,53.723043,-6.418183
896,waterstown,Waterstown parkrun,Waterstown,,42,1,Waterstown Park,53.358719,-6.370558
898,letterkenny,Letterkenny parkrun,Letterkenny,,42,1,St Conals Hospital Campus,54.959034,-7.729891
899,oakwellhall,Oakwell Hall parkrun,Oakwell Hall,,97,1,Oakwell Hall Country Park,53.739437,-1.671596
902,froghollow,Frog Hollow parkrun,Frog Hollow,,3,1,David Collins Drive,-37.991559,145.273622
905,bowral,Bowral parkrun,Bowral,,3,1,Briars Country Lodge and Inn,-34.526266,150.395117
906,murraybridge,Murray Bridge parkrun,Murray Bridge,,3,1,Sturt Reserve,-35.121567,139.285558
907,colby,Colby parkrun,Colby,,97,1,Colby Woodland Garden,51.74064,-4.669924
910,izmailovo,parkrun Izmailovo,Izmailovo,parkrun Измайлово,79,1,Izmailovo park,55.787772,37.794319
911,greatnotley,Great Notley parkrun,Great Notley,,97,1,Great Notley Country Park,51.864147,0.51584
915,eastcoastpark,East Coast Park parkrun,East Coast Park,,82,1,East Coast Park,1.294954,103.893129
916,shellharbour,Shellharbour parkrun,Shellharbour,,3,1,Killalea Drive,-34.602608,150.862868
917,berrinba,Berrinba parkrun,Berrinba,,3,1,Berrinba Wetlands,-27.665606,153.077193
918,stirling-juniors,Stirling junior parkrun,Stirling juniors,,97,2,Kings Park,56.113824,-3.946307
919,inverloch,Inverloch parkrun,Inverloch,,3,1,Rotary Centenary Park,-38.639515,145.719625
921,cannibalscave,Cannibals Cave parkrun,Cannibals Cave,,85,1,Royal Natal National Park,-28.682918,28.976784
924,southmanchester-juniors,South Manchester junior parkrun,South Manchester juniors,,97,2,Platt Fields Park,53.448952,-2.22633
925,cambridge-juniors,Cambridge junior parkrun,Cambridge juniors,,97,2,Milton Country Park,52.236606,0.163389
926,whitleybay-juniors,Whitley Bay junior parkrun,Whitley Bay juniors,,97,2,Whitley Bay,55.0498,-1.447679
929,stlucia,St Lucia parkrun,St Lucia,,3,1,University of Queensland,-27.495122,153.017796
931,woking,Woking parkrun,Woking,,97,1,Woking Park,51.311708,-0.556204
932,cranleigh,Cranleigh parkrun,Cranleigh,,97,1,Bruce McKenzie Memorial Field,51.13819,-0.49151
933,geographebay,Geographe Bay parkrun,Geographe Bay,,3,1,Geographe Bay Rd,-33.642342,115.354374
934,mtclarence,Mt Clarence parkrun,Mt Clarence,,3,1,Flinders Parade,-35.025659,117.916528
937,bibralake,Bibra Lake parkrun,Bibra Lake,,3,1,Bibra Lake Reserve,-32.093955,115.820636
938,hagley,Hagley parkrun,Hagley,,65,1,North Hagley Park,-43.528594,172.62282
942,chermside,Chermside parkrun,Chermside,,3,1,"Kidspace Playground, 7th Brigade Park",-27.37896,153.033507
947,blandford,Blandford parkrun,Blandford,,97,1,Jubilee Way,50.863122,-2.16627
948,exeterriverside,Exeter Riverside parkrun,Exeter Riverside,,97,1,Exeter Quay & River Valley Park,50.713762,-3.525833
949,dawesville,Dawesville parkrun,Dawesville,,3,1,Dawesville Foreshore Reserve,-32.625918,115.640914
950,burgess-juniors,Burgess junior parkrun,Burgess juniors,Burgess junior parkrun,97,2,Burgess Park,51.483207,-0.082664
951,torridge-juniors,Torridge junior parkrun,Torridge juniors,,97,2,Victoria Park,51.023418,-4.203435
952,ipswich-juniors,Ipswich junior parkrun,Ipswich juniors,,97,2,Christchurch Park,52.065233,1.159304
953,pitshanger-juniors,Pitshanger junior parkrun,Pitshanger juniors,,97,2,Pitshanger Park,51.528578,-0.318553
954,whinlatterforest,Whinlatter Forest parkrun,Whinlatter Forest,,97,1,Whinlatter Forest Park,54.610017,-3.22446
955,chichester,Chichester parkrun,Chichester,,97,1,Oaklands Park,50.846182,-0.777535
956,nostell,Nostell parkrun,Nostell,,97,1,Nostell Priory,53.650212,-1.381241
957,pigglywiggly,Piggly Wiggly parkrun,Piggly Wiggly,,85,1,"Dargle Road, Howick",-29.458223,30.136667
959,elaginostrov,parkrun Elagin Ostrov,Elagin Ostrov,parkrun Елагин остров,79,1,Elagin Ostrov,59.977319,30.260285
960,ryazancentral,parkrun Ryazan Central,Ryazan Central,parkrun Рязань центральный парк,79,1,Ryazan Central,54.612814,39.734994
961,dartford,Dartford parkrun,Dartford,,97,1,Central Park,51.439141,0.220166
962,valley,"Valley parkrun, Newtownabbey",Valley,,97,1,Valley Leisure Centre,54.659949,-5.928342
964,chichester-juniors,Chichester junior parkrun,Chichester juniors,Chichester junior parkrun,97,2,Priory Park,50.839693,-0.776619
965,folkestone,Folkestone parkrun,Folkestone,,97,1,The Leas,51.075729,1.172753
966,bereisland,Bere Island parkrun,Bere Island,,42,1,Bere Island,51.632369,-9.81755
968,cronulla,Cronulla parkrun,Cronulla,,3,1,Don Lucas Reserve,-34.040937,151.161836
969,amanzimtoti,Amanzimtoti parkrun,Amanzimtoti,,85,1,Amanzimtoti,-30.049276,30.890567
971,middelburg,Middelburg parkrun,Middelburg,,85,1,Middelburg,-25.732228,29.510178
972,albertsfarm,Alberts Farm parkrun,Alberts Farm,,85,1,Alberts Farm,-26.161115,27.968273
973,swadlincote-juniors,Swadlincote junior parkrun,Swadlincote juniors,,97,2,Maurice Lea Memorial Park,52.764399,-1.557414
975,kesgrave,Kesgrave parkrun,Kesgrave,,97,1,Kesgrave,52.058138,1.257741
977,lismore,Lismore parkrun,Lismore,,3,1,Riverside Park,-28.812589,153.270029
978,cowra,Cowra parkrun,Cowra,,3,1,Cowra,-33.812714,148.703733
982,laudium,Laudium parkrun,Laudium,,85,1,Laudium Sports Stadium,-25.791852,28.095651
986,portaugusta,Port Augusta parkrun,Port Augusta,,3,1,Young Street (underneath the Joy Baluch ,-32.4874,137.764721
987,atherton,Atherton parkrun,Atherton,,3,1,Atherton Tablelands railtrail,-17.275414,145.471686
988,stockton,Stockton parkrun,Stockton,,3,1,Stockton,-32.919273,151.78442
992,warszawabrodno,parkrun Warszawa-Bródno,Warszawa-Bródno,parkrun Warszawa-Bródno,74,1,"Park Bródnowski, Warszawa",52.290317,21.035937
