Country	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total
Australian Capital Territory	10				10
New South Wales	119		3		122
Northern Territory	6				6
Queensland	134	2	5		141
South Australia	51	1	1		53
Tasmania	22		2		24
Victoria	121	2	4		127
Western Australia	62				62
Total	525	5	15		545
