Date	England|parkrunning	England|junior parkrunning	England|5k Cancellations	England|junior Cancellations	England|Total	Northern Ireland|parkrunning	Northern Ireland|junior parkrunning	Northern Ireland|5k Cancellations	Northern Ireland|junior Cancellations	Northern Ireland|Total	Scotland|parkrunning	Scotland|junior parkrunning	Scotland|5k Cancellations	Scotland|junior Cancellations	Scotland|Total	Wales|parkrunning	Wales|junior parkrunning	Wales|5k Cancellations	Wales|junior Cancellations	Wales|Total	Other|parkrunning	Other|junior parkrunning	Other|5k Cancellations	Other|junior Cancellations	Other|Total	Total|parkrunning	Total|junior parkrunning	Total|5k Cancellations	Total|junior Cancellations	Total|Total
2021-08-23 08:49:46.141696	516	251	36	43	846	32	15	2	1	50	56	15	3	5	79	32	10	12	9	63	4	1			5	640	292	53	58	1043
2021-08-23 08:52:24.299215	516	251	36	43	846	32	15	2	1	50	56	15	3	5	79	32	10	12	9	63	4	1			5	640	292	53	58	1043
