Date	Australia|parkrunning	Australia|junior parkrunning	Australia|5k Cancellations	Australia|junior Cancellations	Australia|Total	Austria|parkrunning	Austria|junior parkrunning	Austria|5k Cancellations	Austria|junior Cancellations	Austria|Total	Canada|parkrunning	Canada|junior parkrunning	Canada|5k Cancellations	Canada|junior Cancellations	Canada|Total	Denmark|parkrunning	Denmark|junior parkrunning	Denmark|5k Cancellations	Denmark|junior Cancellations	Denmark|Total	Eswatini|parkrunning	Eswatini|junior parkrunning	Eswatini|5k Cancellations	Eswatini|junior Cancellations	Eswatini|Total	Finland|parkrunning	Finland|junior parkrunning	Finland|5k Cancellations	Finland|junior Cancellations	Finland|Total	France|parkrunning	France|junior parkrunning	France|5k Cancellations	France|junior Cancellations	France|Total	Germany|parkrunning	Germany|junior parkrunning	Germany|5k Cancellations	Germany|junior Cancellations	Germany|Total	Ireland|parkrunning	Ireland|junior parkrunning	Ireland|5k Cancellations	Ireland|junior Cancellations	Ireland|Total	Italy|parkrunning	Italy|junior parkrunning	Italy|5k Cancellations	Italy|junior Cancellations	Italy|Total	Japan|parkrunning	Japan|junior parkrunning	Japan|5k Cancellations	Japan|junior Cancellations	Japan|Total	Malaysia|parkrunning	Malaysia|junior parkrunning	Malaysia|5k Cancellations	Malaysia|junior Cancellations	Malaysia|Total	Namibia|parkrunning	Namibia|junior parkrunning	Namibia|5k Cancellations	Namibia|junior Cancellations	Namibia|Total	Netherlands|parkrunning	Netherlands|junior parkrunning	Netherlands|5k Cancellations	Netherlands|junior Cancellations	Netherlands|Total	New Zealand|parkrunning	New Zealand|junior parkrunning	New Zealand|5k Cancellations	New Zealand|junior Cancellations	New Zealand|Total	Norway|parkrunning	Norway|junior parkrunning	Norway|5k Cancellations	Norway|junior Cancellations	Norway|Total	Poland|parkrunning	Poland|junior parkrunning	Poland|5k Cancellations	Poland|junior Cancellations	Poland|Total	Russia|parkrunning	Russia|junior parkrunning	Russia|5k Cancellations	Russia|junior Cancellations	Russia|Total	Singapore|parkrunning	Singapore|junior parkrunning	Singapore|5k Cancellations	Singapore|junior Cancellations	Singapore|Total	South Africa|parkrunning	South Africa|junior parkrunning	South Africa|5k Cancellations	South Africa|junior Cancellations	South Africa|Total	Sweden|parkrunning	Sweden|junior parkrunning	Sweden|5k Cancellations	Sweden|junior Cancellations	Sweden|Total	United Kingdom|parkrunning	United Kingdom|junior parkrunning	United Kingdom|5k Cancellations	United Kingdom|junior Cancellations	United Kingdom|Total	USA|parkrunning	USA|junior parkrunning	USA|5k Cancellations	USA|junior Cancellations	USA|Total	Total|parkrunning	Total|junior parkrunning	Total|5k Cancellations	Total|junior Cancellations	Total|Total
2021-08-23 08:49:46.111698	400	5	9	1	415	1				1	14		30		44	8				8			1		1	2		1		3	8				8	26		18		44		10	97	19	126	6		12		18	12		13		25			3		3	4				4	10		1		11	34				34	2		4		6	78		2		80	72		31		103			4		4	31		183		214	9		2		11	640	292	53	58	1043	38		10		48	1395	307	474	78	2254
2021-08-23 08:52:24.299095	400	5	9	1	415	1				1	14		30		44	8				8			1		1	2		1		3	8				8	26		18		44		10	97	19	126	6		12		18	12		13		25			3		3	4				4	10		1		11	34				34	2		4		6	78		2		80	72		31		103			4		4	31		183		214	9		2		11	640	292	53	58	1043	38		10		48	1395	307	474	78	2254
2021-08-23 09:14:32.404819	400	5	9	1	415	1				1	14		30		44	8				8			1		1	2		1		3	8				8	26		18		44		10	97	19	126	6		12		18	11		14		25			3		3	4				4	10		1		11	34				34	2		4		6	78		2		80	72		31		103			4		4	31		183		214	9		2		11	640	292	53	58	1043	38		10		48	1394	307	475	78	2254
