County	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total	5k Events Running	junior Events Running	5k Events Cancelled	junior Events Cancelled
Clwyd		1	5	2	8		Prestatyn Prom juniors|	Conwy|Wepre|Erddig|Nova Prestatyn|Greenfield Valley|	Alyn Waters juniors|Conwy Nature Reserve juniors|
Dyfed		1	7	2	10		Aberystwyth juniors|	Llanelli Coast|Aberystwyth|Llyn Llech Owain|Haverfordwest|Colby|Llanerchaeron|Milford Waterfront|	Llanelli Coast juniors|Carmarthen juniors|
Gwent		2	10	5	17		Dixton juniors|Rogiet juniors|	Riverfront|Newport|Bryn Bach|Penallta|Pontypool|Cwmbran|Rogiet|Severn Bridge|Aberbeeg|Coed Cefn-pwll-du|	Penallta juniors|Bryn Bach juniors|Newport juniors|Pontypool juniors|Bailey juniors|
Gwynedd			6		6			Penrhyn|Dolgellau|Newborough Forest|Nant y Pandy|Hafan Pwllheli|Pont y Bala|	
Mid Glamorgan			5	2	7			Merthyr|Maesteg|Pontypridd|Porthcawl|Aberdare|	Bridgend juniors|Pontypridd juniors|
Powys			2		2			Newtown|Groe|	
South Glamorgan		1	6	1	8		Cardiff juniors|	Cardiff|Barry Island|Grangemoor|Tremorfa|Cosmeston Lakes|Trelai Park|	Barry juniors|
West Glamorgan		1	3	1	5		Swansea Prom juniors|	Swansea Bay|Gnoll|Brynaman|	Gnoll juniors|
Total		6	44	13	63				
