County	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total	5k Events Running	junior Events Running	5k Events Cancelled	junior Events Cancelled
Clwyd	2	3	4		9	Erddig|Greenfield Valley|	Alyn Waters juniors|Prestatyn Prom juniors|Conwy Nature Reserve juniors|	Conwy|Wepre|Nova Prestatyn|Ruthin Memorial Playing Fields|	
Dyfed	2	3	5		10	Milford Waterfront|Sandy Water|	Aberystwyth juniors|Carmarthen juniors|Peoples Park juniors|	Aberystwyth|Llyn Llech Owain|Haverfordwest|Colby|Llanerchaeron|	
Gwent	5	7	6		18	Bryn Bach|Penallta|Cwmbran|Rogiet|Severn Bridge|	Penallta juniors|Bryn Bach juniors|Newport juniors|Pontypool juniors|Bailey juniors|Dixton juniors|Rogiet juniors|	Riverfront|Newport|Pontypool|Aberbeeg|Coed Cefn-pwll-du|Chippenham Playing Fields, Monmouth|	
Gwynedd	3		3		6	Dolgellau|Newborough Forest|Hafan Pwllheli|		Penrhyn|Nant y Pandy|Pont y Bala|	
Mid Glamorgan	2	1	3	1	7	Porthcawl|Aberdare|	Bridgend juniors|	Merthyr|Maesteg|Pontypridd|	Pontypridd juniors|
Powys			2		2			Newtown|Groe|	
South Glamorgan	7	2			9	Cardiff|Barry Island|Grangemoor|Tremorfa|Cosmeston Lakes|Trelai Park|Llanishen Park|	Barry juniors|Cardiff juniors|		
West Glamorgan	2	2	1		5	Swansea Bay|Gnoll|	Gnoll juniors|Swansea Prom juniors|	Brynaman|	
Total	23	18	24	1	66				
