Event	Latitude	Longitude	Country	Status	DateCancelled	ReasonCancelled	Website
Edinburgh Oval parkrun	-32.003668	115.891775	Australia	parkrunning			https://www.parkrun.com.au/edinburghoval
Edinburgh parkrun	55.978806	-3.291585	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/edinburgh
Edithburgh parkrun	-35.080717	137.747177	Australia	parkrunning			https://www.parkrun.com.au/edithburgh
Eglinton parkrun	55.643935	-4.669662	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/eglinton
Elder Park junior parkrun	55.863242	-4.325388	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/elderpark-juniors
Elgin parkrun	57.653393	-3.313072	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/elgin
Ellenbrook Fields parkrun	51.761787	-0.254277	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/ellenbrookfields
Ellesmere Port parkrun	53.272524	-2.902542	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/ellesmereport
Ellon parkrun	57.359262	-2.056968	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/ellon
Eltham junior parkrun	51.455664	0.068186	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/eltham-juniors
Emerald parkrun	-23.531435	148.164253	Australia	parkrunning			https://www.parkrun.com.au/emerald
Endcliffe parkrun	53.368631	-1.507364	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/endcliffe
Enfield Town junior parkrun	51.648422	-0.084363	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/enfieldtown-juniors
Enniskillen parkrun	54.343834	-7.642293	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/enniskillen
Eramosa River Trail parkrun	43.540362	-80.241109	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/eramosarivertrail
Erddig parkrun	53.027137	-3.006833	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/erddig
Ernest Ullmann parkrun	-26.078938	28.073178	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/ernestullmann
Erris parkrun	54.203272	-10.082041	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/erris
Esbjerg parkrun	55.482349	8.442703	Denmark	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.dk/esbjerg
Etna parkrun	37.621125	15.008107	Italy	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.it/etna
Euroa parkrun	-36.752767	145.573825	Australia	5k Cancellation	2021-06-12	Covid regulations	https://www.parkrun.com.au/euroa
Evesham junior parkrun	52.09023	-1.958169	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/evesham-juniors
Evesham parkrun	52.090191	-1.958122	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/evesham
Exeter Riverside parkrun	50.713762	-3.525833	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/exeterriverside
Exmouth parkrun	50.614697	-3.412392	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/exmouth
Eynesbury Heritage Trail junior parkrun	-37.787396	144.564012	Australia	junior Cancellation	2021-06-13	Victorian COVID-19 restrictions	https://www.parkrun.com.au/eynesburyheritagetrail-juniors
Fairpark Reserve parkrun	-37.867985	145.264418	Australia	5k Cancellation	2021-06-12	VICTORIAN COVID LOCKDOWN EXTENSION	https://www.parkrun.com.au/fairparkreserve
Fairview parkrun	53.363864	-6.228896	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/fairview
Falcarragh parkrun	55.140535	-8.099661	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/falcarragh
Falkirk parkrun	55.99543	-3.766712	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/falkirk
Falls parkrun, Belfast	54.586363	-5.978879	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/falls
Fareham parkrun	50.848448	-1.167385	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/fareham
Farfalle parkrun	45.425905	11.902457	Italy	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.it/farfalle
Faskally Forest parkrun	56.7118	-3.767296	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/faskallyforest
Father Collins parkrun	53.405158	-6.16021	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/fathercollins
Faversham Recreation Ground junior parkrun	51.312083	0.897824	United Kingdom	junior Cancellation	2021-06-13	Funfair in the park obstructing run route	https://www.parkrun.org.uk/favershamrec-juniors
Favorita parkrun	38.159773	13.339815	Italy	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.it/favorita
Felixstowe Prom junior parkrun	51.957785	1.345726	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/felixstoweprom-juniors
Felixstowe parkrun	51.957778	1.345741	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/felixstowe
Fell Foot parkrun, Newby Bridge	54.274736	-2.952259	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/fellfoot
Ferry Meadows parkrun	52.565563	-0.308132	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/ferrymeadows
Ferryvale parkrun	-26.42512	28.481447	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/ferryvale
Festningen parkrun	63.430394	10.410776	Norway	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.no/festningen
Ficksburg parkrun	-28.863554	27.881193	South Africa	parkrunning			https://www.parkrun.co.za/ficksburg
Fingal Bay parkrun	-32.742887	152.170644	Australia	parkrunning			https://www.parkrun.com.au/fingalbay
Finsbury parkrun	51.569595	-0.104145	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/finsbury
Fire Service College parkrun	51.990688	-1.675487	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/fireservicecollege
Firenze parkrun	43.782382	11.216649	Italy	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.it/firenze
Fish Hoek parkrun	-34.120577	18.398581	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/fishhoek
Flatts Lane parkrun	54.543872	-1.151741	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/flattslane
Flaxmere parkrun	-39.62549	176.789073	New Zealand	parkrunning			https://www.parkrun.co.nz/flaxmere
Fleetwood Promenade parkrun	53.927366	-3.016919	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/fleetwoodpromenade
Fletcher Moss parkrun	53.40999	-2.23551	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/fletchermoss
Fletcher's Cove parkrun	38.919711	-77.10189	USA	parkrunning			https://www.parkrun.us/fletcherscove
Florence Park junior parkrun	51.737483	-1.223801	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/florencepark-juniors
Folkestone parkrun	51.075729	1.172753	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/folkestone
Foots Cray Meadows parkrun	51.432103	0.133269	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/footscraymeadows
Ford parkrun	54.198427	-3.088135	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/ford
Forest Lake parkrun	-27.61964	152.967745	Australia	parkrunning			https://www.parkrun.com.au/forestlake
Forest Rec junior parkrun	52.965238	-1.160495	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/forestrec-juniors
Forest Rec parkrun	52.965352	-1.159766	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/forestrec
Forest of Dean junior parkrun	51.808701	-2.605219	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/forestofdean-juniors
Forest of Dean parkrun	51.808701	-2.605219	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/forestofdean
Foro Italico parkrun	38.120136	13.372298	Italy	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.it/foroitalico
Forster parkrun	-32.180174	152.519554	Australia	parkrunning			https://www.parkrun.com.au/forster
Fort William parkrun	56.851484	-4.999161	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/fortwilliam
Foster parkrun	-43.608599	172.385129	New Zealand	parkrunning			https://www.parkrun.co.nz/foster
Fountains Abbey parkrun	54.110196	-1.581983	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/fountainsabbey
Franschhoek parkrun	-33.898945	19.091445	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/franschhoek
Friary Park junior parkrun	51.619706	-0.162187	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/friarypark-juniors
Frickley Country parkrun	53.588573	-1.290457	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/frickleycountry
Friedrichsau parkrun	48.411138	10.012702	Germany	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.com.de/friedrichsau
Frimley Lodge parkrun	51.298622	-0.724851	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/frimleylodge
Frog Hollow parkrun	-37.991559	145.273622	Australia	5k Cancellation	2021-06-12	COVID19 Lockdown as directed by Vic DHHS	https://www.parkrun.com.au/froghollow
Frédéric Back parkrun	45.558862	-73.620363	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/fredericback
Fukakitaryokuchi parkrun	34.73032	135.625805	Japan	5k Cancellation	2021-06-12	大阪府に非常事態宣言が発出中で、引き続き外出自粛が要請がされている為	https://www.parkrun.jp/fukakitaryokuchi
Fulbourn Hospital parkrun	52.184131	0.186094	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/fulbournhospital
Fulham Palace parkrun	51.472465	-0.218493	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/fulhampalace
Futakotamagawa parkrun	35.606442	139.633181	Japan	5k Cancellation	2021-06-12	緊急実体宣言	https://www.parkrun.jp/futakotamagawa
Fælledparken parkrun	55.701775	12.568917	Denmark	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.dk/faelledparken
GEC Rec junior parkrun	52.365561	-1.239956	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/gecrec-juniors
Gadebridge Park junior parkrun	51.760476	-0.473894	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/gadebridgepark-juniors
Gadebridge parkrun	51.758909	-0.473542	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/gadebridge
Gainsborough Greens parkrun	-27.81877	153.306901	Australia	parkrunning			https://www.parkrun.com.au/gainsboroughgreens
Gainsborough parkrun	53.406272	-0.770777	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/gainsborough
Galston parkrun	-33.642734	151.043648	Australia	parkrunning			https://www.parkrun.com.au/galston
Ganavan Sands parkrun	56.437766	-5.469021	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/ganavansands
Gardenhurst Estate junior parkrun	53.13934	-2.668462	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/gardenhurstestate-juniors
Gardiners Creek parkrun	-37.845344	145.114787	Australia	5k Cancellation	2021-06-12	COVID 19 Public gathering restrictions in Victoria	https://www.parkrun.com.au/gardinerscreek
Garvey Park parkrun	-31.922558	115.941181	Australia	parkrunning			https://www.parkrun.com.au/garveypark
Gateshead parkrun	54.944733	-1.602094	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/gateshead
Gatton parkrun	-27.570426	152.270476	Australia	parkrunning			https://www.parkrun.com.au/gatton
Gawler parkrun	-34.590841	138.750027	Australia	parkrunning			https://www.parkrun.com.au/gawler
Gayndah River Walk parkrun	-25.624063	151.611063	Australia	parkrunning			https://www.parkrun.com.au/gayndahriverwalk
Gedling junior parkrun	52.99389	-1.087241	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/gedling-juniors
Gedling parkrun	52.993919	-1.087124	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/gedling
Geeveston parkrun	-43.163256	146.925685	Australia	parkrunning			https://www.parkrun.com.au/geeveston
Geographe Bay parkrun	-33.642342	115.354374	Australia	parkrunning			https://www.parkrun.com.au/geographebay
George Lane Memorial parkrun	50.579381	-113.879142	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/georgelanememorial
George Town parkrun	-41.109186	146.821208	Australia	parkrunning			https://www.parkrun.com.au/georgetown
George parkrun	-33.945385	22.464767	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/george
Georgengarten parkrun	52.3905	9.702945	Germany	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.com.de/georgengarten
Gibside parkrun	54.920406	-1.731248	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/gibside
Gillies Lake parkrun	48.480373	-81.321352	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/gillieslake
Gilloolys parkrun	-26.165394	28.131554	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/gilloolys
Ginninderra parkrun	-35.234051	149.073486	Australia	parkrunning			https://www.parkrun.com.au/ginninderra
Girvan Prom parkrun	55.243994	-4.862538	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/girvanprom
Gisborne parkrun	-38.671021	178.018082	New Zealand	parkrunning			https://www.parkrun.co.nz/gisborne
Gladstone QLD parkrun	-23.871873	151.238458	Australia	parkrunning			https://www.parkrun.com.au/gladstoneqld
Gladstone parkrun	51.556982	-0.228223	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/gladstone
Glass House Mountains Conservation parkrun	-26.986817	152.823678	Australia	parkrunning			https://www.parkrun.com.au/glasshousemountainsconservation
Glen River parkrun	51.912716	-8.455532	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/glenriver
Glengarriff parkrun	51.755548	-9.566904	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/glengarriff
Globe parkrun	49.110666	9.735054	Germany	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.com.de/globe
Glossop parkrun	53.447019	-1.939503	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/glossop
Gloucester City parkrun	51.858707	-2.243129	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/gloucestercity
Gloucester District parkrun	-32.00456	151.953594	Australia	parkrunning			https://www.parkrun.com.au/gloucesterdistrict
Gloucester North parkrun	51.878304	-2.231707	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/gloucesternorth
Gnoll junior parkrun	51.662428	-3.787224	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/gnoll-juniors
Gnoll parkrun	51.661114	-3.788616	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/gnoll
Goffert parkrun	51.82902	5.833825	Netherlands	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.nl/goffert
Golden Beach parkrun	-26.829014	153.120795	Australia	parkrunning			https://www.parkrun.com.au/goldenbeach
Golden Harvest parkrun	-26.069116	27.95355	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/goldenharvest
Goldfields Reservoir parkrun	-37.065018	143.731855	Australia	5k Cancellation	2021-06-12	COVID Restrictions	https://www.parkrun.com.au/goldfieldsreservoir
Goodwill parkrun	-25.861944	25.65054	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/goodwill
Goole parkrun	53.710492	-0.891098	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/goole
Goolwa parkrun	-35.499385	138.789448	Australia	parkrunning			https://www.parkrun.com.au/goolwa
Goondiwindi parkrun	-28.54951	150.307043	Australia	parkrunning			https://www.parkrun.com.au/goondiwindi
Gorey parkrun	52.683044	-6.296041	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/gorey
Gorleston Cliffs parkrun	52.567806	1.73069	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/gorleston
Gorleston junior parkrun	52.567979	1.731107	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/gorleston-juniors
Goudhurst junior parkrun	51.113694	0.463445	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/goudhurst-juniors
Goulburn parkrun	-34.736445	149.706096	Australia	parkrunning			https://www.parkrun.com.au/goulburn
Grabouw parkrun	-34.141132	19.01659	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/grabouw
Gracepoint parkrun	-26.002734	28.033908	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/gracepoint
Grafton parkrun	-29.643847	152.920487	Australia	parkrunning			https://www.parkrun.com.au/grafton
Graham Andrews parkrun	-26.412576	146.244782	Australia	parkrunning			https://www.parkrun.com.au/grahamandrews
Grahamstown parkrun	-33.314705	26.520674	South Africa	parkrunning			https://www.parkrun.co.za/grahamstown
Grand Ridge Rail Trail parkrun, Mirboo North	-38.400561	146.16502	Australia	parkrunning			https://www.parkrun.com.au/grandridgerailtrail
Grange Paddocks junior parkrun	51.877648	0.162395	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/grangepaddocks-juniors
Grangemoor parkrun	51.454464	-3.192412	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/grangemoor
Graves junior parkrun	53.338892	-1.465051	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/graves-juniors
Graves parkrun	53.338906	-1.464657	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/graves
Gravesend junior parkrun	51.443724	0.379039	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/gravesend-juniors
Great Cornard junior parkrun	52.023598	0.749416	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/greatcornard-juniors
Great Cornard parkrun	52.02463	0.751362	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/greatcornard
Great Denham parkrun	52.121602	-0.509062	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/greatdenham
Great Dunmow parkrun	51.878681	0.3627	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/greatdunmow
Great Lines parkrun, Medway	51.388527	0.541334	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/greatlines
Great Notley junior parkrun	51.863774	0.51556	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/greatnotley-juniors
Great Notley parkrun	51.864147	0.51584	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/greatnotley
Great Yarmouth North Beach parkrun	52.613141	1.73892	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/greatyarmouthnorthbeach
GreenWay parkrun	-33.882504	151.14457	Australia	parkrunning			https://www.parkrun.com.au/greenway
Greenbank parkrun	-27.739202	152.922846	Australia	parkrunning			https://www.parkrun.com.au/greenbank
Greenfield Valley parkrun	53.275044	-3.220992	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/greenfieldvalley
Greenock parkrun	55.956525	-4.767348	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/greenock
Greenpoint parkrun	-33.905997	18.407056	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/greenpoint
Greenstone Hill parkrun	-26.120288	28.146204	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/greenstonehill
Greenwich parkrun	51.449459	0.075155	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/greenwich
Grey Goose parkrun	-27.733307	29.892468	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/greygoose
Greytown Woodside Trail parkrun	-41.067449	175.403236	New Zealand	parkrunning			https://www.parkrun.co.nz/greytownwoodsidetrail
Griffeen junior parkrun	53.343795	-6.44471	Ireland	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.ie/griffeen-juniors
Griffeen parkrun	53.343685	-6.445112	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/griffeen
Groe parkrun	52.150418	-3.403113	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/groe
Groeneweide parkrun	-34.589792	19.404166	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/groeneweide
Grovelands parkrun, Enfield	51.633076	-0.113769	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/grovelands
Grüner Weg parkrun	48.466077	9.422082	Germany	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.com.de/gruenerweg
Guernsey parkrun	49.502341	-2.530312	United Kingdom	parkrunning			https://www.parkrun.org.uk/guernsey
Guildford junior parkrun	51.244977	-0.567461	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/guildford-juniors
Guildford parkrun	51.247383	-0.562062	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/guildford
Gungahlin parkrun	-35.178952	149.129405	Australia	parkrunning			https://www.parkrun.com.au/gungahlin
Gunnersbury parkrun	51.499405	-0.292253	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/gunnersbury
Gunpowder parkrun	51.676037	-0.000831	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/gunpowder
Hackney Marshes parkrun	51.553686	-0.025368	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/hackneymarshes
Hackworth parkrun	54.628071	-1.644945	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/hackworth
Hadleigh parkrun, Essex	51.549769	0.59606	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/hadleigh
Hafan Pwllheli parkrun	52.888538	-4.402811	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/hafanpwllheli
Haga parkrun	59.354555	18.039292	Sweden	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.se/haga
Hagley parkrun	-43.528594	172.62282	New Zealand	parkrunning			https://www.parkrun.co.nz/hagley
Haigh Woodland parkrun	53.572714	-2.609519	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/haighwoodland
Haldon Forest parkrun	50.653392	-3.579359	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/haldonforest
Halifax parkrun	53.731746	-1.873871	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/halifax
Halls parkrun, Nelspruit	-25.456949	30.937114	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/halls
Hamilton Island parkrun	-20.345551	148.95513	Australia	parkrunning			https://www.parkrun.com.au/hamiltonisland
Hamilton Lake parkrun	-37.799693	175.272381	New Zealand	parkrunning			https://www.parkrun.co.nz/hamiltonlake
Hamilton parkrun	-37.737592	142.040024	Australia	parkrunning			https://www.parkrun.com.au/hamilton
Hampstead Heath parkrun	51.558598	-0.168185	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/hampsteadheath
Hampton Oval parkrun	-20.666182	116.70334	Australia	parkrunning			https://www.parkrun.com.au/hamptonoval
Hanley parkrun	53.012501	-2.175164	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/hanley
Hanworth junior parkrun	51.439389	-0.391593	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/hanworth-juniors
Hanworth parkrun	51.43874	-0.398287	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/hanworth
Harcourt Hill junior parkrun	51.739341	-1.295183	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/harcourthill-juniors
Harcourt Hill parkrun	51.739369	-1.295191	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/harcourthill
Harkerville parkrun	-34.038421	23.24131	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/harkerville
Harlow junior parkrun	51.77798	0.098433	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/harlow-juniors
Harlow parkrun	51.77766	0.103624	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/harlow
Harris Avenue parkrun	-27.171876	152.94537	Australia	parkrunning			https://www.parkrun.com.au/harrisavenue
Harrismith parkrun	-28.279106	29.151059	South Africa	parkrunning			https://www.parkrun.co.za/harrismith
Harrogate junior parkrun	53.991699	-1.550192	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/harrogate-juniors
