Event	Latitude	Longitude	Country	Status	DateCancelled	ReasonCancelled	Website
Babbs Mill parkrun	52.489833	-1.746034	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/babbsmill
Badhusparken parkrun	63.179394	14.630701	Sweden	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.se/badhusparken
Bailey junior parkrun	51.826629	-3.016796	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bailey-juniors
Bairnsdale parkrun	-37.823487	147.632774	Australia	parkrunning			https://www.parkrun.com.au/bairnsdale
Bakewell parkrun	53.230788	-1.675286	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bakewell
Balbriggan junior parkrun	53.616099	-6.187225	Ireland	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.ie/balbriggan-juniors
Balclutha parkrun	-46.238883	169.731177	New Zealand	parkrunning			https://www.parkrun.co.nz/balclutha
Ballarat parkrun	-37.556649	143.820637	Australia	5k Cancellation	2021-06-12	Victoria 7 Day Circuit Breaker Lockdown 3rd week	https://www.parkrun.com.au/ballarat
Ballina Coast parkrun	-28.869637	153.576356	Australia	parkrunning			https://www.parkrun.com.au/ballinacoast
Ballina junior parkrun	54.120195	-9.144698	Ireland	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.ie/ballina-juniors
Ballina parkrun	54.120048	-9.146141	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/ballina
Ballincollig Regional junior parkrun	51.891195	-8.615084	Ireland	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.ie/ballincolligregional-juniors
Ballincollig parkrun	51.891833	-8.605349	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/ballincollig
Ballito parkrun	-29.492418	31.18044	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/ballito
Ballyogan junior parkrun	53.257026	-6.190746	Ireland	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.ie/ballyogan-juniors
Balyang Sanctuary parkrun	-38.166457	144.331179	Australia	5k Cancellation	2021-06-12	Victoria Government Current Covid Restrictions	https://www.parkrun.com.au/balyangsanctuary
Banbury parkrun	52.068807	-1.332318	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/banbury
Bangor junior parkrun	54.650612	-5.709153	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/bangor-juniors
Bangor parkrun, Northern Ireland	54.660024	-5.661693	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bangor
Bankton Mains Park junior parkrun	55.87326	-3.511448	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/banktonmainspark-juniors
Bannockburn Bush parkrun	-38.063066	144.142907	Australia	5k Cancellation	2021-06-12	Covid restrictions Victoria State govt	https://www.parkrun.com.au/bannockburnbush
