County	Country	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total	Events
South Glamorgan	Wales		1	6	1	8	['Cardiff parkrun', 'Barry junior parkrun', 'Cardiff junior parkrun', 'Barry Island parkrun', 'Grangemoor parkrun', 'Tremorfa parkrun', 'Cosmeston Lakes parkrun', 'Trelai Park parkrun']
South Lanarkshire	Scotland			1		1	['Lanark Moor parkrun']
South Yorkshire	England	10	4	2		16	['Graves junior parkrun', 'Endcliffe parkrun', 'Barnsley parkrun', 'Concord parkrun, Sheffield', 'Graves parkrun', 'Rotherham parkrun', 'Rother Valley parkrun', 'Hillsborough parkrun', 'Sheffield Castle parkrun', 'Sandall Park parkrun', 'Barnsley junior parkrun', 'Penistone parkrun', 'Millhouses parkrun', 'Cusworth Hall parkrun', 'Sheffield Olympic Legacy Park junior parkrun', 'Sandall Park junior parkrun']
Staffordshire	England	5	3	1	1	10	['Cannock Chase parkrun', 'Hanley parkrun', 'The Wammy parkrun', 'Longton junior parkrun', 'Burslem Park junior parkrun', 'Birches Valley junior parkrun', 'Isabel Trail parkrun', 'Chasewater parkrun', 'Clough Hall junior parkrun', 'Beacon parkrun']
Stirling	Scotland		1	2		3	['Plean parkrun', 'Stirling junior parkrun', 'University of Stirling parkrun']
Suffolk	England	10	4	1	1	16	['Ipswich parkrun', 'Bury St Edmunds parkrun', 'Kesgrave junior parkrun', 'Brandon Country Park parkrun', 'Clare Castle parkrun', 'Bury St Edmunds junior parkrun', 'Great Cornard parkrun', 'Ipswich junior parkrun', 'Kesgrave parkrun', 'Lowestoft parkrun', 'Great Cornard junior parkrun', 'Haverhill parkrun', 'Felixstowe parkrun', 'Sizewell parkrun', 'Thomas Mills parkrun', 'Felixstowe Prom junior parkrun']
Surrey	England	10	8	1		19	['Laleham junior parkrun', 'Banstead Woods parkrun', 'Frimley Lodge parkrun', 'Guildford parkrun', 'Nonsuch parkrun', 'Woking junior parkrun', 'Reigate Priory junior parkrun', 'Savill Garden junior parkrun', 'Homewood parkrun', 'Reigate Priory parkrun', 'Woking parkrun', 'Cranleigh parkrun', 'Guildford junior parkrun', 'Nonsuch junior parkrun', 'Mole Valley parkrun', 'Hazelwood parkrun', 'Cranleigh junior parkrun', 'Brooklands parkrun', 'Leatherhead junior parkrun']
Tyne and Wear	England	10	1		2	13	['Silksworth parkrun', 'Town Moor parkrun', 'Whitley Bay parkrun', 'Gateshead parkrun', 'Windy Nook parkrun', 'South Shields parkrun', 'Rising Sun parkrun', 'Whitley Bay junior parkrun', 'Town Moor junior parkrun', 'Herrington Country parkrun', 'Leazes parkrun', 'Saltwell junior parkrun', 'Jesmond Dene parkrun']
Warwickshire	England	5	2	1		8	['Leamington parkrun', 'Rugby parkrun', 'Kingsbury Water parkrun', 'Stratford-upon-Avon parkrun', 'Bedworth parkrun', 'GEC Rec junior parkrun', 'Stratford-upon-Avon Rec junior parkrun', 'Warwick Racecourse parkrun']
West Dunbartonshire	Scotland			1		1	['Levengrove parkrun']
West Glamorgan	Wales		1	3	1	5	['Gnoll junior parkrun', 'Swansea Bay parkrun', 'Gnoll parkrun', 'Brynaman parkrun', 'Swansea Prom junior parkrun']
West Lothian	Scotland		1	2		3	['Livingston parkrun', 'Polkemmet Country parkrun', 'Bankton Mains Park junior parkrun']
West Midlands	England	10	3	2	3	18	['Coventry parkrun', 'Dudley parkrun', 'Bloxwich junior parkrun', 'Brueton parkrun', 'Cannon Hill parkrun, Birmingham', 'Wolverhampton parkrun', 'Walsall Arboretum parkrun', 'Sandwell Valley parkrun', 'Perry Hall parkrun', 'Wednesfield junior parkrun', 'Cannon Hill junior parkrun, Birmingham', 'Sutton Park parkrun', 'Stevens Park junior parkrun, Wollescote', 'Babbs Mill parkrun', 'Oaklands parkrun', 'East Park parkrun', 'West Smethwick junior parkrun', 'War Memorial Park junior parkrun']
West Sussex	England	9	6	1		16	['Bognor Regis junior parkrun', 'Horsham parkrun', 'Tilgate parkrun', 'Clair parkrun', 'East Grinstead parkrun', 'Horsham junior parkrun', 'Bognor Regis parkrun', 'Chichester parkrun', 'Chichester junior parkrun', 'Haywards Heath junior parkrun', 'Worthing parkrun', 'Tilgate junior parkrun', 'Lancing Beach Green parkrun', 'Littlehampton Prom parkrun', 'Ifield Mill Pond parkrun', 'Worthing Leisure Centre junior parkrun']
West Yorkshire	England	22	13	4	2	41	['Woodhouse Moor parkrun', 'Wakefield Thornes parkrun', 'Cross Flatts junior parkrun', 'Halifax parkrun', 'Bradford parkrun', 'Bramley junior parkrun', 'Pontefract parkrun', 'Brighouse parkrun', 'Rothwell parkrun', 'Huddersfield parkrun', 'Roundhay parkrun', 'Dewsbury parkrun', 'Temple Newsam parkrun', 'Cross Flatts parkrun', 'Brighouse junior parkrun', 'Roundhay junior parkrun', 'Huddersfield junior parkrun', 'Wetherby parkrun', 'Oakwell Hall parkrun', 'Nostell parkrun', 'Temple Newsam junior parkrun', 'Horton Park parkrun', 'Bramley parkrun', 'Dewsbury junior parkrun', 'Saltaire junior parkrun', 'Tolson junior parkrun', 'Bodington junior parkrun', 'Middleton Woods parkrun', 'Wakefield Thornes junior parkrun', 'Pontefract junior parkrun', 'Shelley junior parkrun', 'Armley parkrun', 'Cliffe Castle parkrun', 'Beaumont Park junior parkrun', 'Myrtle parkrun', 'Potternewton parkrun', 'Frickley Country parkrun', 'Storthes Hall parkrun', 'Centre Vale parkrun', 'Bowling Park parkrun', 'Riverside Gardens junior parkrun']
Western Isles	Scotland			1		1	['Lews Castle parkrun']
Wiltshire	England	7	4			11	['Lydiard parkrun', 'Southwick Country parkrun', 'Chippenham parkrun', 'Lydiard junior parkrun', 'Salisbury parkrun', 'Chippenham junior parkrun', 'Melksham parkrun', 'Marlborough Common parkrun', 'Churchill Gardens junior parkrun, Salisbury', 'Seven Fields parkrun', 'King George V junior parkrun']
Worcestershire	England	5	2		1	8	['Arrow Valley parkrun', 'Worcester parkrun', 'Worcester Pitchcroft parkrun', 'Evesham junior parkrun', 'Bromsgrove junior parkrun', 'Evesham parkrun', 'Wyre Forest parkrun', 'Wyre Forest junior parkrun']
Total		519	262	162	84	1027	
