County	Country	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total	Events
Dorset	England	6	4	1		11	"['Moors Valley junior parkrun', 'Moors Valley parkrun', 'Bournemouth parkrun', 'Weymouth junior parkrun', 'Poole parkrun', 'Upton House parkrun', 'Weymouth parkrun', 'Blandford parkrun', 'Upton House junior parkrun', ""St Mary's parkrun"", 'Slades junior parkrun']"
Dumfries and Galloway	Scotland			2	1	3	['Dumfries junior parkrun', 'Crichton parkrun', 'Agnew parkrun']
Dundee City	Scotland			1	1	2	['Camperdown parkrun, Dundee', 'Strathmartine junior parkrun']
Durham	England	9	3	1	3	16	['Durham parkrun', 'Rossmere junior parkrun', 'Billingham junior parkrun', 'Durham City junior parkrun', 'Sedgefield parkrun', 'Blackhill parkrun', 'Riverside parkrun', 'Tees Barrage parkrun', 'Darlington South Park parkrun', 'Hackworth parkrun', 'Hartlepool parkrun', 'Sedgefield junior parkrun', 'Cotsford Fields parkrun', 'South Park junior parkrun', 'Riverside junior parkrun', 'Jubilee parkrun']
Dyfed	Wales		1	7	2	10	['Llanelli Coast parkrun', 'Llanelli Coast junior parkrun', 'Aberystwyth parkrun', 'Llyn Llech Owain parkrun', 'Haverfordwest parkrun', 'Colby parkrun', 'Aberystwyth junior parkrun', 'Carmarthen junior parkrun', 'Llanerchaeron parkrun', 'Milford Waterfront parkrun']
East Ayrshire	Scotland			1		1	['Dean Castle Country Park parkrun']
East Lothian	Scotland			2		2	['Meadowmill parkrun', 'Lochend Woods parkrun']
East Renfrewshire	Scotland				1	1	['Rouken Glen junior parkrun']
East Riding of Yorkshire	England	6	2			8	['Hull parkrun', 'Sewerby parkrun', 'Peter Pan parkrun', 'Goole parkrun', 'Peter Pan junior parkrun', 'Humber Bridge parkrun', 'Alderman Kneeshaw junior parkrun', 'Beverley Westwood parkrun']
East Sussex	England	10	4			14	['Brighton & Hove parkrun', 'Eastbourne parkrun', 'Peacehaven parkrun', 'Peacehaven junior parkrun', 'Preston Park junior parkrun, Brighton', 'Preston Park parkrun, Brighton', 'Hastings parkrun', 'Hove Promenade parkrun', 'Bevendean Down parkrun', 'Eastbourne junior parkrun', 'Hove Park junior parkrun', 'East Brighton parkrun', 'Seaford Beach parkrun', 'Uckfield parkrun']
Edinburgh	Scotland			3	2	5	['Edinburgh parkrun', 'The Meadows junior parkrun', 'Inverleith junior parkrun', 'Portobello parkrun, Edinburgh', 'Oriam parkrun']
Essex	England	22	10	1	2	35	['Hadleigh parkrun, Essex', 'Brentwood junior parkrun', 'Basildon parkrun', 'Roding Valley parkrun', 'Harlow junior parkrun', 'Colchester Castle parkrun', 'Burnham-on-Crouch parkrun', 'Maldon Prom parkrun', 'Billericay parkrun', 'Gunpowder parkrun', 'Southend parkrun', 'Chelmsford Central parkrun', 'Hawkwell junior parkrun', 'Clacton Seafront parkrun', 'Brentwood parkrun', 'Chelmsford junior parkrun', 'Great Notley parkrun', 'Harlow parkrun', 'Hockley Woods parkrun', 'Great Notley junior parkrun', 'Harwich parkrun', 'Thurrock parkrun, Orsett Heath', 'Colchester junior parkrun', 'Maldon Prom junior parkrun', 'Mersea Island parkrun', 'South Woodham Ferrers parkrun', 'Great Dunmow parkrun', 'Cliff Park junior parkrun', 'Roding Valley junior parkrun', 'Highwoods parkrun', 'Lake Meadows junior parkrun', 'Northlands junior parkrun', 'Wickford Memorial parkrun', 'Chalkwell Beach parkrun', 'Clacton junior parkrun']
Falkirk	Scotland		1	1		2	['Falkirk parkrun', 'Helix junior parkrun']
Fermanagh and Omagh	Northern Ireland	2			1	3	['Enniskillen parkrun', 'Omagh parkrun', 'Broadmeadow junior parkrun']
Fife	Scotland		1	4		5	['St Andrews parkrun', 'Kirkcaldy parkrun', 'Dunfermline parkrun', 'Lochore Meadows parkrun', 'Duloch junior parkrun']
Glasgow City	Scotland		1	7	1	9	"['Pollok parkrun, Glasgow', 'Tollcross parkrun, Glasgow', 'Victoria parkrun, Glasgow', 'Ruchill parkrun', 'Springburn parkrun, Glasgow', 'Victoria junior parkrun, Glasgow', 'Drumchapel parkrun', ""Queen's parkrun, Glasgow"", 'Elder Park junior parkrun']"
Gloucestershire	England	15	5	4	1	25	['Kingsway parkrun, Gloucester', 'Forest of Dean parkrun', 'Gloucester North parkrun', 'Forest of Dean junior parkrun', 'Page Park junior parkrun', 'Thornbury parkrun', 'Stonehouse parkrun', 'Wotton parkrun', 'Cheltenham parkrun', 'Newent parkrun, Forest of Dean', 'Chipping Sodbury parkrun', 'Pomphrey Hill parkrun', 'Little Stoke junior parkrun', 'Tewkesbury parkrun', 'Cheltenham junior parkrun', 'Lydney parkrun', 'Cirencester parkrun', 'Gloucester City parkrun', 'Stonehouse junior parkrun', 'Tetbury Goods Shed parkrun', 'Stratford Park parkrun, Stroud', 'Mallards Pike parkrun', 'King George V Playing Field parkrun', 'Berkeley Green parkrun', 'Wotton Community PARC junior parkrun']
Greater London	England	50	24	6	9	89	"['Bushy parkrun', 'Wimbledon Common parkrun', 'Richmond parkrun', 'Bedfont Lakes parkrun', 'Roundshaw Downs parkrun', 'Finsbury parkrun', 'Bromley parkrun', 'Bexley parkrun', 'Harrow parkrun', 'Lloyd junior parkrun', 'Grovelands parkrun, Enfield', 'Hackney Marshes parkrun', 'Greenwich parkrun', 'Old Deer Park parkrun', 'Hampstead Heath parkrun', 'Kingston parkrun', 'Brockwell parkrun, Herne Hill', ""Queen's Park junior parkrun, London"", 'Beckenham Place parkrun', 'Highbury Fields parkrun', 'Osterley junior parkrun', 'Crystal Palace parkrun', 'London Fields junior parkrun', 'Valentines parkrun', 'Oak Hill parkrun', 'Lloyd parkrun, Croydon', 'Gunnersbury parkrun', 'Bushy junior parkrun', 'South Norwood parkrun', 'Wanstead Flats parkrun', 'Riddlesdown parkrun', 'Acton junior parkrun', 'Pymmes parkrun', 'Crystal Palace junior parkrun', 'Raphael parkrun', 'Ally Pally parkrun', 'Wormwood Scrubs parkrun', 'Hoblingwell parkrun', 'Mile End parkrun', 'Dulwich parkrun', 'Hilly Fields junior parkrun', 'Beckton parkrun', 'Gladstone parkrun', 'Crane Park parkrun', 'Hilly Fields parkrun', 'Burgess parkrun', 'Orpington parkrun', 'Barking parkrun', 'Harrow Lodge parkrun', 'Walthamstow parkrun', 'Southwark parkrun', 'Canons Park parkrun', 'Osterley parkrun', 'Fulham Palace parkrun', 'Northala Fields parkrun', 'Wimbledon Park junior parkrun', 'Harrow Lodge junior parkrun', 'Barking and Dagenham junior parkrun', 'Brockwell junior parkrun', 'Mile End junior parkrun', 'Peckham Rye parkrun', 'Burgess junior parkrun', 'Pitshanger junior parkrun', 'Highbury Fields junior parkrun', 'Lesnes Abbey Woods junior parkrun', 'Bromley junior parkrun', 'Moormead junior parkrun', 'Surbiton junior parkrun', 'Tooting Common parkrun', 'Eltham junior parkrun', 'Hanworth junior parkrun', 'Victoria Dock parkrun', 'Priory Park junior parkrun', 'Clapham Common parkrun', 'Catford parkrun', 'Friary Park junior parkrun', 'Foots Cray Meadows parkrun', 'Kenton Rec junior parkrun', 'Leyton Jubilee junior parkrun', 'Sunny Hill parkrun', 'Tooting Common junior parkrun', 'Hanworth parkrun', 'Bethlem Royal Hospital parkrun', 'Northala Fields junior parkrun', 'Hoblingwell junior parkrun', 'Caledonian junior parkrun', 'Enfield Town junior parkrun', 'Latchmere Rec junior parkrun', 'Paddington Rec junior parkrun']"
Greater Manchester	England	17	11	4	3	35	"['Bramhall parkrun', 'Heaton parkrun', 'Woodbank parkrun', 'South Manchester parkrun', 'Oldham parkrun', 'Hyde parkrun', ""Queen's Park junior parkrun, Rochdale"", ""Queen's Park junior parkrun, Bolton"", 'Salford junior parkrun', 'Pennington Flash parkrun', 'Bolton parkrun', 'Wythenshawe parkrun', 'Worsley Woods parkrun', 'Marple parkrun', 'Burnage parkrun', 'Hyde junior parkrun', 'Marple junior parkrun', 'Cheadle Hulme parkrun', 'Watergrove parkrun, Rochdale', 'South Manchester junior parkrun', 'Stamford Park parkrun', 'Haigh Woodland parkrun', 'Stretford parkrun', 'Chadderton Hall parkrun', 'Alexandra junior parkrun, Oldham', 'Sale Water parkrun', 'Ramsbottom junior parkrun', 'Uppermill junior parkrun', 'Seymour Park junior parkrun', 'Alexandra junior parkrun, Moss Side', 'Milnrow Memorial Park junior parkrun', 'Fletcher Moss parkrun', 'Leigh junior parkrun', 'Peel Park junior parkrun, Little Hulton', 'Alexandra parkrun, Moss Side']"
Gwent	Wales		2	10	5	17	['Penallta junior parkrun', 'Riverfront parkrun', 'Newport parkrun', 'Bryn Bach junior parkrun', 'Bryn Bach parkrun', 'Penallta parkrun', 'Pontypool parkrun', 'Newport junior parkrun', 'Pontypool junior parkrun', 'Cwmbran parkrun', 'Rogiet parkrun', 'Severn Bridge parkrun', 'Aberbeeg parkrun', 'Bailey junior parkrun', 'Dixton junior parkrun, Monmouth', 'Rogiet junior parkrun', 'Coed Cefn-pwll-du parkrun']
Gwynedd	Wales			6		6	['Penrhyn parkrun', 'Dolgellau parkrun', 'Newborough Forest parkrun', 'Nant y Pandy parkrun', 'Hafan Pwllheli parkrun', 'Pont y Bala parkrun']
Hampshire	England	16	12	3	1	32	"['Basingstoke parkrun', 'Southampton parkrun', 'Andover parkrun', 'Southsea parkrun', 'Havant parkrun', 'Whiteley parkrun', 'Andover junior parkrun', 'Eastleigh parkrun', 'Lymington Woodside parkrun', 'Netley Abbey junior parkrun', 'Stokes Bay junior parkrun', 'Winchester parkrun', 'Netley Abbey parkrun', 'Alice Holt parkrun', 'Brockenhurst parkrun', 'Queen Elizabeth parkrun', 'Southampton junior parkrun', 'Basingstoke junior parkrun', 'Rushmoor parkrun', 'Eastney junior parkrun', 'Lee-on-the-Solent parkrun', 'Waterlooville junior parkrun', 'Portsmouth Lakeside parkrun', 'Fareham parkrun', 'Winchester junior parkrun', 'Hogmoor Inclosure parkrun', 'New Milton junior parkrun', ""Queen's Parade junior parkrun, Aldershot"", 'Whiteley junior parkrun', 'Hogmoor Inclosure junior parkrun', 'Itchen Valley Country parkrun', 'Dowds Farm junior parkrun']"
Herefordshire	England	3				3	['Hereford parkrun', 'Ludlow parkrun', 'Ross-on-Wye parkrun']
Hertfordshire	England	13	8	1	3	25	['Beehive junior parkrun', 'St Albans parkrun', 'Rickmansworth parkrun', 'Westmill parkrun', 'Stevenage junior parkrun', 'Leavesden junior parkrun', 'Stevenage parkrun', 'Gadebridge parkrun', 'Pinehill junior parkrun', 'Panshanger parkrun', 'Tring parkrun', 'South Oxhey parkrun', 'Cassiobury parkrun', 'Barclay parkrun', 'Aldenham parkrun', 'Cheshunt junior parkrun', 'Castle Park parkrun', 'Hertford junior parkrun', 'Letchworth parkrun', 'King George junior parkrun', 'Jersey Farm parkrun', 'Grange Paddocks junior parkrun', 'Verulamium junior parkrun', 'Gadebridge Park junior parkrun', 'Ashlyns junior parkrun']
Highland	Scotland			5		5	['Aviemore parkrun', 'Inverness parkrun', 'Alness parkrun', 'Thurso parkrun', 'Fort William parkrun']
Inverclyde	Scotland			1	1	2	['Greenock parkrun', 'Battery Park junior parkrun']
Isle of Wight	England	1	1			2	['Medina I.O.W. parkrun', 'Medina I.O.W junior parkrun']
Kent	England	22	9		5	36	['Dover junior parkrun', 'Maidstone parkrun', 'Ashford parkrun', 'Canterbury parkrun', 'Royal Tunbridge Wells parkrun', 'Margate junior parkrun', 'Whitstable parkrun', 'Tonbridge junior parkrun', 'Margate parkrun', 'Pegwell Bay parkrun', 'Shorne Woods parkrun', 'Great Lines parkrun, Medway', 'Tonbridge parkrun', 'Dartford parkrun', 'Folkestone parkrun', 'Whitstable junior parkrun', 'Gravesend junior parkrun', 'Goudhurst junior parkrun', 'Lullingstone parkrun', 'Medway junior parkrun', 'Dartford Heath parkrun', 'Manor Park junior parkrun', 'Malling parkrun', 'Ashford junior parkrun', 'Sittingbourne parkrun', 'Dartford junior parkrun', 'Bedgebury Pinetum parkrun', 'Betteshanger junior parkrun', 'Park Wood junior parkrun', 'Reculver junior parkrun', 'Walmer and Deal Seafront parkrun', 'Kingdom parkrun', 'Cyclopark parkrun', 'Squerryes Winery parkrun', 'The Leas parkrun, Minster', 'Faversham Recreation Ground junior parkrun']
Lancashire	England	13	6	1	1	21	['Preston parkrun', 'Hyndburn parkrun', 'Skelmersdale junior parkrun', 'Burnley junior parkrun', 'Clitheroe Castle junior parkrun', 'Avenham Park junior parkrun', 'Burnley parkrun', 'Cuerden Valley parkrun', 'Ormskirk parkrun', 'Pendle parkrun', 'Witton parkrun', 'Lytham Hall parkrun', 'Lancaster parkrun', 'Blackpool parkrun', 'Park View junior parkrun', 'Clitheroe Castle parkrun', 'Fleetwood Promenade parkrun', 'Morecambe Prom parkrun', 'Tawd Valley parkrun', 'Padiham Greenway junior parkrun', 'Worden Park junior parkrun']
Leicestershire	England	6	3			9	['Braunstone parkrun', 'Market Harborough parkrun', 'Conkers parkrun', 'Market Harborough junior parkrun', 'Aylestone junior parkrun', 'Melton Mowbray parkrun', 'Leicester Victoria parkrun', 'Melton Mowbray junior parkrun', 'Dishley parkrun, Loughborough']
Lincolnshire	England	8	2	1	1	12	['Boston parkrun', 'Lincoln parkrun', 'Belton House parkrun', 'Market Rasen Racecourse parkrun', 'Snowden Field parkrun', 'Wyndham junior parkrun', 'Boston Road Rec junior parkrun', 'Doddington Hall parkrun', 'Normanby Hall parkrun', 'Scunthorpe parkrun', 'Cleethorpes parkrun', 'Brumby Wood Rec Ground junior parkrun']
Lisburn and Castlereagh	Northern Ireland	3	2			5	['Wallace parkrun, Lisburn', 'Moira junior parkrun', 'Lough Moss junior parkrun', 'Knockbracken Reservoir parkrun', 'Hillsborough Forest parkrun']
Merseyside	England	7	2	2	3	14	['Knowsley parkrun', 'St Helens parkrun', 'Southport parkrun', 'Princes parkrun, Liverpool', 'Stanley Park junior parkrun', 'Croxteth Hall parkrun', 'Birkenhead parkrun', 'Crosby parkrun', 'Wirral Country Park junior parkrun', 'Kew Woods parkrun', 'The Mystery junior parkrun, Wavertree', 'Sutton Manor parkrun', 'Derby Park junior parkrun', 'Victoria junior parkrun, St Helens']
Mid Glamorgan	Wales			5	2	7	['Merthyr parkrun', 'Maesteg parkrun', 'Pontypridd parkrun', 'Porthcawl parkrun', 'Bridgend junior parkrun', 'Pontypridd junior parkrun', 'Aberdare parkrun']
