Country	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total
England	518	257	36	37	848
Northern Ireland	33	15	1	1	50
Scotland	58	17	1	3	79
Wales	38	16	6	4	64
Other	4	1			5
Total	651	306	44	45	1046
