Event	Country	Previous Cancellation Note	Website
Shrewsbury parkrun	United Kingdom	Oktoberfest Event in the park,traffic on our route	https://www.parkrun.org.uk/shrewsbury
Silveroaks parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/silveroaks
Singleton parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/singleton
Snye Point parkrun	Canada	conflict of dates/local event: Birchwood Bender	https://www.parkrun.ca/snyepoint
St Peters parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/stpeters
Stockton parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/stockton
Stonehouse junior parkrun	United Kingdom	Shortage of Run Directors	https://www.parkrun.org.uk/stonehouse-juniors
Studley parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/studley
Sunbury parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/sunbury
Sunrise-on-Sea parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/sunriseonsea
Swansea Prom junior parkrun	United Kingdom	Limited volunteers, RDs attending London Marathon	https://www.parkrun.org.uk/swanseaprom-juniors
Tamworth parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/tamworth
Taree parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/taree
Tarrengower parkrun	Australia	Due to current COVID-19 restrictions
Taupo parkrun	New Zealand	COVID-19 (Coronavirus)	https://www.parkrun.co.nz/taupo
Tauranga parkrun	New Zealand	COVID-19 (Coronavirus)	https://www.parkrun.co.nz/tauranga
Ted Scobie Oval parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/tedscobieoval
The Beaches parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/thebeaches
The Entrance parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/theentrance
The Ponds parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/theponds
The Terrace parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/theterrace
The Waterfront junior parkrun	United Kingdom	Jersey Marathon and Mile	https://www.parkrun.org.uk/thewaterfront-juniors
Timboon parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/timboon
Toolern Creek parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/toolerncreek
Torquay parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/torquay
Traralgon parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/traralgon
Trentham Memorial parkrun	New Zealand	COVID-19 (Coronavirus)	https://www.parkrun.co.nz/trenthammemorial
Tuggeranong parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/tuggeranong
University of Waikato parkrun	New Zealand	COVID-19 (Coronavirus)	https://www.parkrun.co.nz/universityofwaikato
Urunga parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/urunga
Vaal Marina parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/vaalmarina
Vicarstown junior parkrun	Ireland	Event not available	https://www.parkrun.ie/vicarstown-juniors
Victoria Dock parkrun	United Kingdom	London Marathon - safety	https://www.parkrun.org.uk/victoriadock
Wagga parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/wagga
Wagi Bridge parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/wagibridge
Walcha parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/walcha
Wallaby Track parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/wallabytrack
Wanaka parkrun	New Zealand	COVID-19 (Coronavirus)	https://www.parkrun.co.nz/wanaka
Wangaratta parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/wangaratta
Warragul parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/warragul
Warringal Parklands parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/warringalparklands
Warrnambool parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/warrnambool
Waterloo Plains parkrun	Australia	Rain has made the track dangerous	https://www.parkrun.com.au/waterlooplains
Waterworks junior parkrun	United Kingdom	Belfast Marathon going through park.	https://www.parkrun.org.uk/waterworks-juniors
Wauchope parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/wauchope
Werrington Lakes Reserve parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/werringtonlakesreserve
Werrington parkrun	United Kingdom	COVID-19 (Coronavirus)
Westerfolds junior parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/westerfolds-juniors
Westerfolds parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/westerfolds
Western Springs parkrun	New Zealand	COVID-19 (Coronavirus)	https://www.parkrun.co.nz/westernsprings
Whalan Reserve parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/whalanreserve
Whanganui Riverbank parkrun	New Zealand	COVID-19 (Coronavirus)	https://www.parkrun.co.nz/whanganuiriverbank
Whangarei parkrun	New Zealand	COVID-19 (Coronavirus)	https://www.parkrun.co.nz/whangarei
Wildflower parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/wildflower
Willoughby parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/willoughby
Willow parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/willow
Wilson Botanic parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/wilsonbotanic
Wimmera River parkrun, Horsham	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/wimmerariverhorsham
Winterton parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/winterton
Woy Woy parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/woywoy
Wyndham Vale parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/wyndhamvale
Yamba parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/yamba
Yeovil Montacute parkrun	United Kingdom	COVID-19 (Coronavirus)
You Yangs parkrun	Australia	Due to current COVID-19 restrictions	https://www.parkrun.com.au/youyangs
parkrun Kościan	Poland	Przygotowania do Gry Miejskiej	https://www.parkrun.pl/koscian
parkrun Maykop Gorodskoy Park	Russia	Рабочий день	https://www.parkrun.ru/maykopgorodskoypark
2021-10-04 00:56:21.940371			
