Country	parkrunning	junior parkrunning	5k Cancellations	junior Cancellations	Total
Australian Capital Territory			7		7
New South Wales			101		101
Northern Territory	3				3
Queensland	111	1		2	114
South Australia	38	1			39
Tasmania	17				17
Victoria			92	2	94
Western Australia	41		1		42
Total	210	2	201	4	417
